照片,該照片的文字敘述
文件一_第01頁,這是一張由東吳大學社會資源處生涯發展中心發布的「畢業生流向訪問」官方宣傳海報。版面以清爽的淺米色為底，左上方印有東吳大學校徽，主標題以粗體深藍色字體呈現。公告對象鎖定113、111及109學年度的畢業校友，呼籲大家填寫線上問卷以利校務發展。右側繪製了一隻戴著黑色學士帽、穿著印有SCU字樣深藍色棒球夾克並打著領帶的可愛東吳二代泰迪熊。下方附有問卷專屬QR Code與官方網址，並以愛心符號標註重要期程：自2026年7月11日起將由學弟妹對尚未填答者進行電話訪問服務；只要在2026年8月25日前完成線上問卷填寫，即可參加抽獎活動，校方一共準備了多達300個精美母校紀念品等候校友領取。
文件一_第02頁,這張圖片是畢業生流向訪問的抽獎活動規則與豐富獎項說明海報。上方以鮮豔紅字標題宣告只要在期限內完成線上問卷即可參加抽獎，抽獎機制採三波滾動式進行，前一波未中獎者資格可保留至下一波繼續抽：第一波於6/25前填答並於6/27抽出150名；第二波於7/25前填答並於7/27抽出100名；第三波於8/25前填答並於8/27抽出50名。中獎名單將在抽獎後兩天內公告於官網與粉專並以簡訊通知。下方展示了實體獎品圖文，包含頭獎定價3000元的東吳二代絨毛熊一對共2名、定價1280元的常玉杯4名、萌友運動毛巾60名、日常飲料提袋65名、SCU帆布袋70名、中書包50名、小象杯24名、校徽隨身碟3名、東吳文具組2名及鈦印章20名，並附有領獎詳細注意事項。
文件一_第03頁,這是一張針對畢業校友設計的政策宣導與問答圖卡，標題以醒目的藍色字體提問「什麼是畢業生流向訪問？」。內文清楚說明此項調查是依據教育部規定，全國各大專校院均必須針對畢業滿一年、滿三年及滿五年的畢業校友進行流向調查。特別強調本項訪問是屬於全體普查而非隨機抽樣，其法律授權依據為教育基本法第九條，明定教育統計為中央政府之教育權限事項之一。版面中央以大字標明調查之核心目的，並搭配燈泡、齒輪與人際網絡三個精緻小圖示，條列出三大具體效益：校務辦學優化、學系課程調整以及校友服務聯緊，期盼能藉由蒐集到足夠充足的代表性樣本數，作為未來母校精進教學品質的重要大數據分析基礎。
文件一_第04頁,這張宣傳圖卡旨在向畢業校友清晰介紹流向訪問的具體參與方式。上方列出最推薦且便利的第一種管道「線上問卷」，開放期間為6月至8月，圖中配有一隻正在敲打筆記型電腦鍵盤的認真東吳小熊，並附上了官方填答網址，詳細提示登入帳號為個人的身分證字號、密碼為生日後四碼，學校亦會透過手機簡訊與電子郵件同步寄發專屬連結。下方則介紹第二種管道「學弟妹電話訪問」，期間為7月至8月，配圖是兩隻頭戴耳機麥克風、身穿SCU服飾的電訪員小熊，說明屆時將由各學系學弟妹組成熱情的電話訪問團隊，在暑假期間進行一對一的親切電訪服務，協助平時工作繁忙未能即時上網的學長姐完成問卷。
文件一_第05頁,這是一張解答校友填答疑慮的FAQ常見問答圖卡，左側繪有戴耳機的東吳熊插圖。第一個問題針對校友常有的困惑「為何要詢問我薪資？」，官方解答此為教育部規定必須調查的法定項目，但問卷在設計上極為保護個人隱私，並非要求填寫精確具體數字，而是採取合理的「區間範圍」選項，回收後所有資料皆會進行去識別化處理以利宏觀統計。第二個問題則是回答「我目前還在找工作，或覺得目前薪水不理想，會不會拉低母系的就業比例與平均值？」，官方懇切說明這項調查的主要用意是供母系作為課程規劃調整之參考，並讓在校學弟妹了解真實職場樣貌與可能面臨的就業情境，問卷沒有任何標準答案，依自身真實情況填寫就是最有價值的回饋。
文件一_第06頁,這張圖卡專門解答關於工作內容細節調查的疑問，右下方繪有一隻手持鉛筆、身旁圍繞著各行各業男女上班族剪影的東吳小熊。上方提問「為何要詢問我公司名稱、職位、工作內容？」，解答中向校友分析，這些題目看似相似，但在統計學與勞動研究上分別代表了「行業」與「職業」兩種截然不同的專業概念。蒐集這些資訊的目的在於深入分析畢業系友所從事的產業類別與職業類型分佈，讓學系能精準掌握學長姐畢業後的實際出路，並據此作為未來系所課程規劃與學弟妹職涯輔導的核心參考。同時特別貼心註記，若任職公司內部有保密考量或校友不便填寫全名，完全可以採用匿名或概括性代稱填寫，例如填寫【XX補習班】、【XX律師事務所】或【XX證券】即可。
文件一_第07頁,這是一張針對特殊學制校友與歷年數據公開所製作的解答圖卡，右下角展示了一隻東吳熊正在使用桌上型電腦查閱圖表報告的插圖。第一個問題探討「為何我需要填寫兩份問卷？」，官方說明若校友同時具備本校學士班以及碩士班或博士班畢業資格，且各自畢業剛好屆滿一、三、五年，為了分別評估不同學制學位之教學成效，系統會需要校友分別填寫兩份或兩份以上不同的問卷。第二個問題則是解答「過去訪問的統計結果在哪裡？」，圖卡明確指出所有歷年調查結果皆公開透明，校友可直接造訪東吳大學社會資源處生涯發展中心官方網站的「畢業生流向調查」專區，該專區完整收錄了去年度問卷結果的統計摘要分析，非常歡迎學長姐點閱參考以了解母校與系所近年來整體畢業生的就業發展趨勢。
文件一_第08頁,這是一張充滿文藝氣息與校園情懷的畢業典禮邀請函，視覺風格採用精緻的手繪水彩插畫技法繪製。畫面主視覺是東吳大學外雙溪校區極具歷史意義的「哲生樓」教學大樓，斑駁的洗石子牆面、綠意盎然的校園植栽與直聳的椰子樹在水彩暈染下顯得溫馨而莊重。畫面右半部以典雅的毛筆手寫字體題上「邀請函」三個大字，下方接續標註「巨量資料管理學院 畢業典禮」以及兩片手繪綠葉點綴。邀請函清楚載明典禮舉行的確切時間為115年6月13日（星期六）中午12:30，舉行地點坐落於東吳大學外雙溪校區哲生樓3樓。右上角還巧妙蓋有復古郵戳圖樣，整體設計如同一張寄送給每位畢業生與家長的珍貴明信片，傳遞出濃厚的師生情誼與邁向人生新階段的溫暖祝福。
文件一_第09頁,這是一張設計成復古拍立得相片樣式的大學個人申請面試感謝圖卡，純白相紙邊框中央鑲嵌著哲生樓的水彩插畫風景。照片中央以柔和的粉紅與紫色漸層書法字體題寫著「謝謝所有家長與同學蒞臨資料科學系，期待未來在校園相見」的溫馨感言。在白色相紙的下方留白處，印有一行整齊醒目的黑體字標題：「115學年度大學申請入學第二階段甄試面試」。整張圖卡傳達出系所對於遠道而來參與二階甄試的考生與陪考家長的由衷感謝，不僅記錄下考生在哲生樓試場奮鬥的重要人生里程碑，也展現出東吳資科系親切、溫暖且充滿人情味的系所氛圍，期望每一位優秀學子都能在即將到來的大學生活中順利錄取並加入巨資大家庭。
文件一_第10頁,這張照片記錄了大學甄試當天系所向家長與考生進行說明時的實況場景。畫面焦點是一位身穿淺藍色短袖襯衫、繫著深藍色領帶並佩戴名牌與眼鏡的師長——東吳大學資料科學系許晉雄教授兼教務長。他神采奕奕地站立在講台前，雙手端正地拿著有線麥克風向台下滿座的聽眾懇切演講。許教務長身後的大螢幕上正投影著個人簡介投影片，上方繪有他的卡通版肖像與象徵靈感的發光燈泡插圖。畫面左下方壓上醒目的深色標籤，以白字清楚標註「115學年度大學入學申請入學第二階段甄試面試」以及「東吳大學資料科學系 許晉雄教授兼教務長」，整體畫面呈現出校方高層與資深師長對招生甄試的極度重視，以及向考生與家長展現系所堅強辦學實力的自信風範。
文件一_第11頁,這是一張截取自系所官方宣傳影音訪談的靜態畫面。畫面中是一位面帶親切甜美微笑的長髮女同學——東吳大學資料科學系陳妙音同學。她身穿深灰色針織上衣，領口夾著微型無線麥克風，端莊地坐在現代化簡約風格的辦公室座椅上。她身後的白牆上懸掛著一幅典雅精緻的風景水彩畫，營造出寧靜且專業的訪談氛圍。畫面左上方印有巨量資料管理學院資料科學系的官方英中文Logo，右側則標示出她的系級與姓名。下方正中央出現了該段影片的核心訪談字幕「你會希望機器幫你做什麼呢」，引導觀眾思考人工智慧與機器人技術如何走入人類日常生活，藉由在校優秀同學的真誠分享，向高中生與大眾展現資科系將數據技術落地於生活應用的創新教學特色。
